PeriodID,NodeName,CutPattern,CutPatternType,CutPatternOutput,CutPatternOutputQty,DowngradeOutputQty,FgProduct,FgType,FgInput,FgInputQty
1,A01,23100268-NFA-2,001-C09,20001301-NFA-2,989.994,989.994,10093837,1,20001301-NFA-123,3857.002
1,A01,23100268-NFA-2,001-C09,20001301-NFA-2,989.994,989.994,10098770,1,20001301-NFA-12345,480
1,A01,23100268-NFA-2,001-C09,20001301-NFA-2,989.994,989.994,10092839,1,20001301-NFA-234,4128
1,A01,23100268-NFA-2,001-C09,20001301-NFA-2,989.994,989.994,10097033,1,20001301-NFA-234,2928
1,A01,23102770-NFA-23,001-C08,20001301-NFA-23,5734,9591.002,10093837,1,20001301-NFA-123,3857.002
1,A01,23102770-NFA-23,001-C08,20001301-NFA-23,5734,5734,10098770,1,20001301-NFA-12345,480
1,A01,23102770-NFA-23,001-C08,20001301-NFA-23,5734,7610.998,10097033,1,20001301-NFA-234,2928
1,A01,23102770-NFA-23,001-C08,20001301-NFA-23,5734,7610.998,10092839,1,20001301-NFA-234,4128
1,A01,23102770-NFA-45,001-C08,20001301-NFA-45,2814,3294,10098770,1,20001301-NFA-12345,480
1,A01,23101009-ABF-12,001-C09,20001403-ABF-12,500,1000,10092066,1,20001403-NFA-12,2200
1,A01,23101076-NFA-1,001-C09,20001403-NFA-1,710.006,1420.012,10092066,1,20001403-NFA-12,2200
1,A01,23100268-NFA-2,001-C09,20001403-NFA-2,989.994,1979.988,10092066,1,20001403-NFA-12,2200
1,A01,23103013-ABF-1,001-C09,20001405-ABF-1,250,490,10098713,1,20001405-NFA-1,240
1,A01,23101302-ABF-1,001-C08,20001406-ABF-1,634.004,1268.009,10014048,1,20001406-FA-12,5816.026
1,A01,23101302-ABF-12,001-C08,20001406-ABF-12,4330.006,8660.013,10014048,1,20001406-FA-12,5816.026
1,A01,23101617-ABF-34,001-C09,20001406-ABF-34,1502.997,5748.994,10044783,1,20001406-ABF-234,6500
1,A01,23101500-ABF-34,001-C09,20001406-ABF-34,2053,6298.997,10044783,1,20001406-ABF-234,6500
1,A01,23101630-ABF-34,001-C08,20001406-ABF-34,690,4935.997,10044783,1,20001406-ABF-234,6500
